2787,216-1,0919.3,+6912,spiral Gal elongated
2811,505-2,0916.2,-1606,spiral Gal
2841,205-1,0922.0,+5058,spiral Gal elongated
2859,137-1,0924.3,+3431,Barred spiral Gal
2903,56-1,0932.2,-2130,spiral Gal
2950,68-4,0942.6,+5851,spiral Gal
2964,114-1,0942.9,+3151,spiral Gal
2974,61-1,0942.6,-0342,elongated spiral Gal
2976,285-1,0947.3,+6755,50 stars
2985,78-1,0950.4,+7217,spiral Gal
3034,79-4,0955.8,+6941,M82
3077,286-1,1003.3,+6844,elliptical Gal
3079,47-5,1002.0,+5541,spiral Gal edge-on
3115,163-1,1005.2,+0743,elliptical Gal
3147,79-1,1016.9,+7339,spiral Gal
3166,3-1,1013.8,+0326,spiral Gal
3169,4-1,1014.2,+0328,spiral Gal
3184,168-1,1018.3,+4125,spiral Gal
3190,44-2,1018.1,+2150,spiral Gal
3193,45-2,1018.4,+2154,elliptical Gal c 3190
3198,199-1,1019.9,+4533,spiral Gal elongated
3226,28-2,1023.4,+1954,elliptical Gal
3227,29-2,1023.5,+1952,spiral Gal
3242,27-4,1024.8,+1838,spiral Gal
3245,86-1,1027.3,+2830,elliptical Gal
3277,359-2,1032.9,+2831,spiral Gal
3294,164-1,1036.3,+3720,spiral Gal
3310,60-4,1035.7,+5330,irregular Gal
3344,81-1,1043.5,+2455,spiral Gal
3377,99-2,1047.7,+1359,elliptical Gal
3379,17-1,1047.8,+1235,elliptical Gal M105
3384,18-1,1048.3,+1238,elliptical Gal
3395,116-1,1049.8,+3259,spiral Gal
3412,27-1,1050.9,+1325,elliptical Gal
3414,362-2,1051.3,+2759,Barred spiral Gal
3432,172-1,1052.5,+3637,spiral Gal
3486,87-1,1000.4,+2858,spiral Gal
3489,101-2,1100.3,+1354,elliptical Gal
3504,88-1,1100.5,+2758,spiral Gal
3521,13-1,1105.8,-0002,spiral Gal
3556,46-5,1111.5,+55.4,edge-on spiral Gal M108
3593,29-1,1114.6,+1249,spiral Gal
3607,50-2,1116.9,+1803,elliptical Gal
