Star  Name                          R.A.          Dec.         Mag
108  8 Zeta Aur                     5 02 28.6     41 04 33     3.75
109  2 Epsilon Lep                  5 05 27.6    -22 22 16     3.19
110  10 Eta Aur                     5 06 30.8     41 14 04     3.17
111  67 Beta Eri                    5 07 50.9     -5 05 11     2.79
112  5 Mu Lep                       5 12 55.8    -16 12 20     3.31
113  19 Beta Ori Rigel              5 14 32.2     -8 12 06     0.12
114  13 Alpha Aur Capella           5 16 41.3     45 59 53     0.08
115  R Aur ~                        5 17 17.8     53 35 10     6.40
116  20 Tau Ori                     5 17 36.3     -6 50 40     3.60
117  28 Eta Ori                     5 24 28.6     -2 23 50     3.36
118  24 Gamma Ori Bellatrix         5 25 07.8      6 20 59     1.64
119  112 Beta Tau Elnath            5 26 17.5     28 36 27     1.65
120  9 Beta Lep                     5 28 14.7    -20 45 35     2.84
121  Epsilon Col                    5 31 12.7    -35 28 15     3.87
122  33 Ori *                       5 31 14.4      3 17 32     5.46
123  34 Delta Ori Mintaka           5 32 00.3      0 17 57     2.23
124  11 Alpha Lep                   5 32 43.7    -17 49 20     2.58
125  Beta Dor                       5 33 37.5    -62 29 24     3.80
126  39 Lambda Ori                  5 35 08.2      9 56 02     3.39
127  44 Iota Ori                    5 35 25.9     -5 54 36     2.76
128  46 Epsilon Ori Alnilam         5 36 12.7     -1 12 07     1.70
129  123 Zeta Tau                   5 37 38.6     21 08 33     3.00
130  48 Sigma Ori                   5 38 44.7     -2 35 00     3.73
131  Alpha Col                      5 39 38.9    -34 04 27     2.64
132  50 Zeta Ori Alnitak            5 40 45.5     -1 56 34     1.77
133  13 Gamma Lep                   5 44 27.7    -22 26 55     3.60
134  14 Zeta Lep                    5 46 57.2    -14 49 20     3.55
135  Beta Pic                       5 47 17.1    -51 03 59     3.85
136  53 Kappa Ori  Saiph            5 47 45.3     -9 40 11     2.06
137  Beta Col                       5 50 57.5    -35 46 06     3.12
138  15 Delta Lep                   5 51 19.2    -20 52 45     3.81
139  32 Nu Aur                      5 51 29.3     39 08 55     3.97
140  58 Alpha Ori Betelgeuse        5 55 10.2      7 24 26     0.50
141  U Ori ~                        5 55 49.2     20 10 30     5.40
142  16 Eta Lep                     5 56 24.2    -14 10 04     3.71
143  Eta Col                        5 59 08.8    -42 48 55     3.96
144  33 Delta Aur                   5 59 31.6     54 17 05     3.72
145  34 Beta Aur Menkalinan         5 59 31.7     44 56 51     1.90
146  37 Theta Aur                   5 59 43.2     37 12 45     2.62
147                                 6 03 29.5     73 04 18     4.03
148  5 Gamma Mon                    6 14 51.3     -6 16 29     3.98
149  7 Eta Gem                      6 14 52.6     22 30 24     3.28
150  1 Zeta CMa                     6 20 18.7    -30 03 48     3.02
151  Delta Col                      6 22 06.7    -33 26 11     3.85
152  2 Beta CMa Mirzam              6 22 41.9    -17 57 22     1.98
153  V Mon ~                        6 22 43.7     -2 11 47     5.90
154  13 Mu Gem                      6 22 57.6     22 30 49     2.88
155  Alpha Car Canopus              6 23 57.1    -52 41 44    -0.72
156  T Mon ~                        6 25 13.0      7 05 09     5.98
157  11 Beta Mon                    6 28 48.9     -7 01 58     3.76
158  7 Nu-2 CMa                     6 36 41.0    -19 15 22     3.95
159  24 Gamma Gem Alhena            6 37 42.7     16 23 57     1.93
160  Nu Pup                         6 37 45.6    -43 11 45     3.17
161  27 Epsilon Gem                 6 43 55.9     25 07 52     2.98
162  9 Alpha CMa Sirius *           6 45 08.9    -16 42 58    -1.46
163  31 Xi Gem                      6 45 17.3     12 53 44     3.36
164  Omicron Sigma 156 *            6 47 23.4     18 11 36     6.16
165  Alpha Pic                      6 48 11.4    -61 56 29     3.27
166  13 Kappa CMa                   6 49 50.4    -32 30 31     3.96
167  Tau Pup                        6 49 56.1    -50 36 53     2.93
168  34 Theta Gem                   6 52 47.3     33 57 40     3.60
169  16 Omicron-1 CMa               6 54 07.8    -24 11 02     3.86
170  21 Epsilon CMa Adhara          6 58 37.5    -28 58 20     1.50
171  R Lyn ~                        7 01 17.9     55 19 51     7.80
172  22 Sigma CMa                   7 01 43.1    -27 56 06     3.46
173  24 Omicron-2 CMa               7 03 01.4    -23 50 00     3.03
174  43 Zeta Gem ~                  7 04 06.5     20 34 13     3.79
175  25 Delta CMa Wezen             7 08 23.4    -26 23 36     1.86
176  R CMi ~                        7 08 42.6     10 01 25     7.00
177  Gamma-2 Vol                    7 08 45.0    -70 29 57     3.80
178  28 Omega CMa                   7 14 48.6    -26 46 22     3.85
179  Delta Vol                      7 16 49.8    -67 57 27     3.98
180  Pi Pup                         7 17 08.5    -37 05 51     2.70
181  54 Lambda Gem                  7 18 05.5     16 32 25     3.58
182  55 Delta Gem                   7 20 07.3     21 58 56     3.53
183  31 Eta CMa                     7 24 05.6    -29 18 11     2.44
184  60 Iota Gem                    7 25 43.5     27 47 53     3.79
185  3 Beta CMi                     7 27 09.0      8 17 21     2.90
186  Sigma Pup                      7 29 13.8    -43 18 05     3.25
187  S CMi ~                        7 32 43.0      8 19 06     6.90
188  66 Alpha Gem Castor *          7 34 35.9     31 53 18     1.58
189                                 7 38 49.7    -26 48 13     3.82
190  10 Alpha CMi Procyon           7 39 18.1      5 13 30     0.38
191  26 Alpha Mon                   7 41 14.8     -9 33 04     3.93
192  Zeta Vol                       7 41 49.3    -72 36 22     3.95
193  3 Pup                          7 43 48.4    -28 57 18     3.96
194  77 Kappa Gem                   7 44 26.8     24 23 52     3.57
195                                 7 45 15.2    -37 58 07     3.59
196  78 Beta Gem Pollux             7 45 18.9     28 01 34     1.14
197  7 Xi Pup                       7 49 17.6    -24 51 35     3.34
198                                 7 52 13.0    -40 34 33     3.73
199  Chi Car                        7 56 46.7    -52 58 56     3.47
200  Zeta Pup Naos                  8 03 35.0    -40 00 12     2.25
201  15 Rho Pup                     8 07 32.6    -24 18 15     2.81
202  Gamma Vel Regor                8 09 31.9    -47 20 12     1.78
203  16 Zeta Cnc *                  8 12 12.6     17 38 52     4.73
204  17 Beta Cnc                    8 16 30.9      9 11 08     3.52
205  R Cnc ~                        8 16 33.9     11 43 35     5.90
206  V Cnc ~                        8 21 42.9     17 17 08     6.80
207  Epsilon Car Avior              8 22 30.8    -59 30 34     1.86
208                                 8 25 39.5     -3 54 23     3.90
209  Beta Vol                       8 25 44.3    -66 08 13     3.77
210  1 Omicron UMa                  8 30 15.8     60 43 05     3.36
211  Beta Pyx                       8 40 06.1    -35 18 30     3.97
212  Omicron Vel                    8 40 17.6    -52 55 19     3.62
213                                 8 40 37.6    -46 38 55     3.84
214  Alpha Pyx                      8 43 35.5    -33 11 11     3.68
215  47 Delta Cnc                   8 44 41.0     18 09 15     3.94
216  Delta Vel Alsephina            8 44 42.2    -54 42 30     1.96
217                                 8 46 01.7    -46 02 30     3.91
218  11 Epsilon Hya                 8 46 46.5      6 25 07     3.38
219  S Hya ~                        8 53 33.8      3 04 07     7.20
220                                 8 55 02.8    -60 38 41     3.84
221  16 Zeta Hya                    8 55 23.6      5 56 44     3.11
222  T Hya ~                        8 55 39.7     -9 08 29     7.20
223  9 Iota UMa                     8 59 12.4     48 02 29     3.14
224                                 9 00 38.3     41 46 57     3.97
225  12 Kappa UMa                   9 03 37.5     47 09 23     3.60
226                                 9 04 09.2    -47 05 52     3.75
227  Lambda Vel Suhail              9 07 59.7    -43 25 57     2.21
228  13 Sigma-2 UMa *               9 10 23.1     67 08 04     4.80
229  a Car                          9 10 57.9    -58 58 01     3.44
230                                 9 11 16.7    -62 19 02     3.97
231  Beta Car Miaplacidus           9 13 12.2    -69 43 02     1.68
232  22 Theta Hya                   9 14 21.8      2 18 51     3.88
233  Iota Car Aspidiske             9 17 05.4    -59 16 31     2.25
234  38 Lyn                         9 18 50.6     36 48 09     3.82
235  Sigma 1338 *                   9 20 59.2     38 11 18     5.86
236  40 Alpha Lyn                   9 21 03.2     34 23 33     3.13
237  Kappa Vel                      9 22 06.8    -55 00 38     2.50
238  30 Alpha Hya Alphard           9 27 35.2     -8 39 31     1.98
239  Psi Vel                        9 30 41.9    -40 28 00     3.60
240  N Vel                          9 31 13.3    -57 02 04     3.13
241  23 UMa                         9 31 31.7     63 03 42     3.67
242  R Car                          9 32 14.7    -62 47 19     3.80
243  25 Theta UMa                   9 32 51.3     51 40 38     3.17
244  35 Iota Hya                    9 39 51.3     -1 08 34     3.91
245  14 Omicron Leo                 9 41 09.0      9 53 32     3.52
246  R LMi ~                        9 45 34.1     34 30 44     6.20
247  17 Epsilon Leo                 9 45 51.0     23 46 27     2.98
248  Upsilon Car                    9 47 06.1    -65 04 18     2.97
249  R Leo ~                        9 47 33.4     11 25 43     4.90
250  29 Upsilon UMa                 9 50 59.3     59 02 19     3.80
251  24 Mu Leo                      9 52 45.8     26 00 25     3.88
252  Phi Vel                        9 56 51.7    -54 34 03     3.54
253  30 Eta Leo                    10 07 19.9     16 45 45     3.52
254  32 Alpha Leo Regulus          10 08 22.2     11 58 02     1.35
255  41 Lambda Hya                 10 10 35.2    -12 21 15     3.61
256  Omega Car                     10 13 44.3    -70 02 16     3.32
257                                10 14 44.1    -42 07 19     3.85
258  36 Zeta Leo                   10 16 41.4     23 25 02     3.44
259  q Car                         10 17 04.9    -61 19 56     3.40
260  33 Lambda UMa                 10 17 05.7     42 54 52     3.45
261  41 Gamma-1 Leo Algieba        10 19 58.3     19 50 30     2.28
262  41 Gamma-2 Leo                10 19 58.6     19 50 25     3.53
263  34 Mu UMa                     10 22 19.7     41 29 58     3.05
264  42 Mu Hya                     10 26 05.3    -16 50 11     3.81
265                                10 27 52.7    -58 44 22     3.82
266  p Car                         10 32 01.4    -61 41 07     3.32
267  47 Rho Leo                    10 32 48.6      9 18 24     3.85
268                                10 37 18.0    -48 13 32     3.84
269  Theta Car                     10 42 57.4    -64 23 39     2.76
270  R UMa ~                       10 44 38.3     68 46 32     5.80
271  Mu Vel                        10 46 46.1    -49 25 12     2.69
272  Nu Hya                        10 49 37.4    -16 11 37     3.11
273  46 LMi                        10 53 18.6     34 12 53     3.83
274  u Car                         10 53 29.6    -58 51 12     3.78
275  48 Beta UMa                   11 01 50.4     56 22 56     2.37
276  50 Alpha UMa Dubhe            11 03 43.6     61 45 03     1.79
277                                11 08 35.3    -58 58 30     3.91
278  52 Psi UMa                    11 09 39.7     44 29 54     3.01
279  68 Delta Leo                  11 14 06.4     20 31 25     2.56
280  70 Theta Leo                  11 14 14.3     15 25 46     3.34
281  53 Xi UMa *                   11 18 10.9     31 31 45     3.79
282  54 Nu UMa                     11 18 28.7     33 05 39     3.48
283  12 Delta Crt                  11 19 20.4    -14 46 43     3.56
284  Pi Cen                        11 21 00.4    -54 29 27     3.89
285  78 Iota Leo                   11 23 55.4     10 31 45     3.94
286  1 Lambda Dra                  11 31 24.2     69 19 52     3.84
287  Xi Hya                        11 33 00.1    -31 51 27     3.54
288  Lambda Cen                    11 35 46.8    -63 01 11     3.13
289  Lambda Mus                    11 45 36.4    -66 43 43     3.64
290  63 Chi UMa                    11 46 03.0     47 46 45     3.71
291  94 Beta Leo Denebola          11 49 03.5     14 34 19     2.14
292  5 Beta Vir                    11 50 41.6      1 45 53     3.61
293  64 Gamma UMa                  11 53 49.7     53 41 41     2.44
294  Delta Cen                     12 08 21.5    -50 43 20     2.60
295  2 Epsilon Crv                 12 10 07.4    -22 37 11     3.00
296  Rho Cen                       12 11 39.1    -52 22 07     3.96
297  Delta Cru                     12 15 08.6    -58 44 55     2.80
298  69 Delta UMa                  12 15 25.5     57 01 57     3.31
299  4 Gamma Crv                   12 15 48.3    -17 32 31     2.59
300  R Crv ~                       12 19 37.9    -19 15 20     5.80
301  15 Eta Vir                    12 19 54.3      0 40 00     3.89
302  Epsilon Cru                   12 21 21.5    -60 24 04     3.59
303  SS Vir ~                      12 25 18.7      0 47 42     7.20
304  Alpha-1 Cru  Acrux            12 26 35.9    -63 05 56     1.41
305  Alpha-2 Cru                   12 26 36.5    -62 05 58     1.88
306  Sigma Cen                     12 28 02.4    -50 13 51     3.91
307  7 Delta Crv                   12 29 51.8    -16 30 55     2.95
308  Gamma Cru Gacrux              12 31 09.9    -57 06 47     1.63
309  Gamma Mus                     12 32 28.1    -72 07 58     3.87
310  5 Kappa Dra                   12 33 28.9     69 47 17     3.87
311  9 Beta Crv                    12 34 23.2    -23 23 48     2.65
312  T UMa ~                       12 36 23.2     59 29 12     5.40
313  Alpha Mus                     12 37 11.0    -69 08 07     2.69
314  Tau Cen                       12 37 42.1    -48 32 28     3.86
315  R Vir ~                       12 38 29.9      6 59 18     7.08
316  Gamma Cen Muhlifain           12 41 30.9    -48 57 34     2.17
317  29 Gamma Vir *                12 41 39.5     -1 26 57     2.75
318  S UMa ~                       12 43 54.0     61 06 00     7.00
319  Beta Mus                      12 46 16.9    -68 06 29     3.05
320  Beta Cru Mimosa               12 47 43.2    -59 41 19     1.25
321  35 Com *                      12 53 19.2     21 14 25     4.90
322  77 Epsilon UMa Alioth         12 54 01.7     55 57 35     1.77
323  43 Delta Vir                  12 55 36.1      3 23 51     3.38
324  12 Alpha-2 CVn                12 56 01.6     38 19 06     2.90
325  47 Epsilon Vir Vindemiatrix   13 02 10.5     10 57 33     2.83
326  Delta Mus                     13 02 16.3    -71 32 56     3.62
327  46 Gamma Hya                  13 18 55.2    -23 10 17     3.00
328  V CVn ~                       13 19 30.0     45 32 00     6.52
329  Iota Cen                      13 20 35.8    -36 42 44     2.75
330  79 Zeta-1 UMa Mizar           13 23 55.5     54 55 31     2.27
331  79 Zeta-2 UMa                 13 23 56.3     54 55 18     3.95
332  67 Alpha Vir Spica            13 25 11.5    -11 09 41     0.98
333  80 UMa Alcor                  13 25 13.4     54 59 17     4.01
334                                13 31 02.6    -39 24 27     3.88
335  S Vir ~                       13 33 00.6     -7 11 42     5.90
336  79 Zeta Vir                   13 34 41.5      0 35 46     3.37
337  Epsilon Cen                   13 39 53.2    -53 27 58     2.30
338  85 Eta UMa Alkaid             13 47 32.3     49 18 48     1.86
339  R CVn ~                       13 48 57.1     39 32 33     6.90
340  Nu Cen                        13 49 30.2    -41 41 16     3.41
341  Mu Cen                        13 49 36.9    -42 28 25     3.04
342  8 Eta Boo                     13 54 41.0     18 23 51     2.68
343  Zeta Cen                      13 55 32.3    -47 17 17     2.55
344  Phi Cen                       13 58 16.2    -42 06 02     3.83
345  Upsilon-1 Cen                 13 58 40.7    -44 48 13     3.87
346  Beta Cen  Hadar               14 03 49.4    -60 22 22     0.61
347  11 Alpha Dra                  14 04 23.2     64 22 33     3.65
348  49 Pi Hya                     14 06 22.2    -26 40 56     3.27
349  5 Theta Cen Menkent           14 06 40.9    -36 22 12     2.06
350  16 Alpha Boo Arcturus         14 15 39.6     19 10 57    -0.04
351  R Cam ~                       14 17 48.0     83 50 00     6.97
352  Iota Lup                      14 19 24.1    -46 03 28     3.55
353  V Boo ~                       14 29 48.0     38 52 00     7.00
354  25 Rho Boo                    14 31 49.7     30 22 17     3.58
355  27 Gamma Boo                  14 32 04.6     38 18 30     3.03
356  Eta Cen                       14 35 30.3    -42 09 28     2.31
357  R Boo ~                       14 37 12.0     26 44 00     6.20
358  Alpha-2 Cen Toliman           14 39 35.4    -60 50 13     1.39
359  Alpha-1 Cen Rigil Kentaurus   14 39 36.7    -60 50 02     0.00
360  30 Zeta Boo *                 14 41 08.8     13 43 42     3.78
361  Alpha Lup                     14 41 55.7    -47 23 17     2.30
362  Alpha Cir                     14 42 28.0    -64 58 43     3.19
363  107 Mu Vir                    14 43 03.5     -5 39 30     3.88
364  36 Epsilon Boo Izar           14 44 59.1     27 04 27     2.37
