Star  Name                          R.A.          Dec.         Mag
458  Theta Sco Sargas              17 37 19.0    -42 59 52     1.87
459  55 Xi Ser                     17 37 35.0    -15 23 55     3.54
460  85 Iota Her                   17 39 27.7     46 00 23     3.80
461  Kappa Sco                     17 42 29.0    -39 01 48     2.41
462  60 Beta Oph                   17 43 28.2      4 34 02     2.77
463  Eta Pav                       17 45 43.8    -64 43 25     3.62
464  86 Mu Her                     17 46 27.3     27 43 15     3.42
465  Iota-1 Sco                    17 47 34.9    -40 07 37     3.03
466  62 Gamma Oph                  17 47 53.4      2 42 26     3.75
467  G Sco *                       17 49 51.3    -37 02 36     3.21
468  32 Xi Dra                     17 53 31.5     56 52 21     3.75
469  91 Theta Her                  17 56 15.1     37 15 02     3.86
470  33 Gamma Dra Eltanin          17 56 36.2     51 29 20     2.23
471  92 Xi Her                     17 57 45.7     29 14 52     3.70
472  64 Nu Oph                     17 59 01.4     -9 46 25     3.34
473  67 Oph                        18 00 38.5      2 55 53     3.97
474  69 Tau Oph *                  18 03 04.8     -8 10 49     4.79
475  70 Oph *                      18 05 27.2      2 29 58     4.03
476  10 Gamma Sgr                  18 05 48.3    -30 25 26     2.99
477  Theta Ara                     18 06 37.6    -50 05 30     3.66
478  72 Oph                        18 07 20.8      9 33 50     3.73
479  103 Omicron Her               18 07 32.4     28 45 45     3.83
480  T Her ~                       18 09 06.1     31 01 16     6.80
481  13 Mu Sgr                     18 13 45.6    -21 03 32     3.86
482  W Lyr ~                       18 14 54.0     36 39 00     7.30
483  Eta Sgr                       18 17 37.5    -36 45 42     3.11
484  19 Delta Sgr                  18 20 59.5    -29 49 42     2.70
485  44 Chi Dra                    18 21 03.0     72 43 58     3.57
486  58 Eta Ser                    18 21 18.4     -2 53 56     3.26
487  109 Her                       18 23 41.7     21 46 11     3.84
488  20 Epsilon Sgr Kaus Australis 18 24 10.2    -34 23 05     1.85
489  Alpha Tel                     18 26 58.2    -45 58 06     3.51
490  22 Lambda Ser                 18 27 58.1    -25 25 18     2.81
491  Alpha Sct                     18 35 12.2     -8 14 39     3.85
492  3 Alpha Lyr Vega              18 36 56.2     38 47 01     0.03
493  X Oph ~                       18 38 20.8      8 50 02     5.90
494  4 Epsilon Lyr *               18 44 20.1     39 40 15     4.67
495  27 Phi Sgr                    18 45 39.2    -26 59 27     3.17
496  R Sct ~                       18 47 28.8     -5 42 18     5.20
497  10 Beta Lyr ~                 18 50 04.6     33 21 46     3.45
498  34 Sigma Sgr Nunki            18 55 15.7    -26 17 48     2.02
499  37 Xi-2 Sgr                   18 57 43.6    -21 06 24     3.51
500  14 Gamma Lyr                  18 58 56.4     32 41 22     3.24
501  38 Zeta Sgr                   19 02 36.5    -29 52 49     2.59
502  39 Omicron Sgr                19 04 40.8    -21 44 30     3.77
503  17 Zeta Aql                   19 05 24.4     13 51 48     2.99
504  16 Lambda Aql                 19 06 14.7     -4 52 57     3.44
505  R Aql ~                       19 06 22.0      8 13 48     5.40
506  Gamma CrA *                   19 06 24.0    -37 03 00     4.20
507  40 Tau Sgr                    19 06 56.2    -27 40 13     3.32
508  41 Pi Sgr                     19 09 45.6    -21 01 25     2.89
509  57 Delta Dra                  19 12 33.1     67 39 41     3.07
510  T Sgr ~                       19 16 16.5    -16 58 41     8.00
511  R Sgr ~                       19 16 41.6    -19 18 25     6.60
512  1 Kappa Cyg                   19 17 06.0     53 22 07     3.77
513  44 Rho-1 Sgr                  19 21 40.2    -17 50 50     3.93
514  Beta-1 Sgr                    19 22 38.1    -44 27 32     3.93
515  Alpha Sgr                     19 23 53.0    -40 36 58     3.97
516  30 Delta Aql                  19 25 29.7      3 06 53     3.36
517  RR Lyr ~                      19 25 27.6     42 47 04     7.20
518  10 Iota Cyg                   19 29 42.1     51 43 47     3.79
519  6 Beta Cyg Albireo *          19 30 43.1     27 57 35     3.08
520  R Cyg ~                       19 36 49.2     50 11 59     6.50
521  RT Cyg ~                      19 43 37.7     48 46 42     6.20
522  18 Delta Cyg *                19 44 58.4     45 07 51     2.86
523  50 Gamma Aql                  19 46 15.4     10 36 48     2.72
524  7 Delta Sge                   19 47 23.0     18 32 03     3.82
525  63 Epsilon Dra                19 48 10.2     70 16 04     3.83
526  52 Pi Aql *                   19 48 41.9     11 48 57     5.70
527  8 Zeta Sge *                  19 49 00.0     19 08 00     5.04
528  Chi Cyg ~                     19 50 33.7     32 54 51     4.23
529  53 Alpha Aql Altair           19 50 46.8      8 52 06     0.77
530  55 Eta Aql ~                  19 52 28.1      1 00 20     3.90
531  60 Beta Aql                   19 55 18.5      6 24 24     3.71
532  21 Eta Cyg                    19 56 18.2     35 05 00     3.89
533  12 Gamma Sge                  19 58 45.3     19 29 32     3.47
534  Epsilon Pav                   20 00 35.4    -72 54 38     3.96
535  Delta Pav                     20 08 43.3    -66 10 56     3.56
536  65 Theta Aql                  20 11 18.1      0 49 17     3.23
537  31 Omicron-1 Cyg              20 13 37.7     46 44 29     3.79
538  32 Omicron-2 Cyg              20 15 28.1     47 42 51     3.98
539  6 Alpha-2 Cap                 20 18 03.1    -12 32 42     3.57
540  U Cyg ~                       20 19 41.5     47 54 20     7.87
541  9 Beta Cap                    20 21 00.5    -14 46 53     3.08
542  37 Gamma Cyg Sadr             20 22 13.5     40 15 24     2.20
543  Alpha Pav Peacock             20 25 38.7    -56 44 06     1.94
544  6 Beta Del                    20 37 32.8     14 35 43     3.54
545  Alpha Ind                     20 37 33.9    -47 17 29     3.11
546  9 Alpha Del                   20 39 38.1     15 54 43     3.77
547  50 Alpha Cyg Deneb            20 41 25.8     45 16 49     1.25
548  Beta Pav                      20 44 57.4    -66 12 12     3.42
549  3 Eta Cep                     20 45 17.2     61 50 20     3.43
550  53 Epsilon Cyg                20 46 12.5     33 58 13     2.46
551  2 Epsilon Aqr                 20 47 40.3     -9 29 45     3.77
552  T Aqr ~                       20 49 56.2     -5 08 49     6.70
553  4 Aqr *                       20 51 25.5     -5 37 35     5.99
554  Beta Ind                      20 54 48.5    -58 27 15     3.65
555  58 Nu Cyg                     20 57 10.2     41 10 02     3.94
556  62 Xi Cyg                     21 04 55.7     43 55 40     3.72
557  T Cep ~                       21 09 31.8     68 29 25     7.33
558  61 Cyg *                      21 06 54.0     38 45 00     4.81
559  64 Zeta Cyg                   21 12 56.0     30 13 37     3.20
560  65 Tau Cyg *                  21 14 47.3     38 02 44     3.72
561  8 Alpha Equ                   21 15 49.3      5 14 52     3.92
562  5 Alpha Cep                   21 18 34.6     62 35 08     2.44
563  34 Zeta Cap                   21 26 39.9    -22 24 41     3.74
564  8 Beta Cep                    21 28 39.4     70 33 39     3.23
565  22 Beta Aqr                   21 31 33.3     -5 34 16     2.91
566  40 Gamma Cap                  21 40 05.2    -16 39 45     3.68
567  RU Cyg ~                      21 40 38.7     54 19 29     6.80
568  Nu Oct                        21 41 28.6    -77 23 24     3.76
569  8 Epsilon Peg                 21 44 11.0      9 52 30     2.38
570  49 Delta Cap                  21 47 02.3    -16 07 38     2.87
571  Gamma Gru                     21 53 55.6    -37 21 54     3.01
572  34 Alpha Aqr                  22 05 46.8      0 19 11     2.96
573  24 Iota Peg                   22 07 00.5     25 20 42     3.76
574  Alpha Gru Alnair              22 08 13.8    -46 57 40     1.74
575  26 Theta Peg                  22 10 11.8      6 11 52     3.53
576  21 Zeta Cep                   22 10 51.1     58 12 05     3.35
577  Alpha Tuc                     22 18 30.1    -60 15 35     2.86
578  48 Gamma Aqr                  22 21 39.2     -1 23 14     3.84
579  55 Zeta-2 Aqr *               22 28 49.9      0 01 12     3.65
580  27 Delta Cep ~*               22 29 10.1     58 24 55     3.75
581  Delta-1 Gru                   22 29 15.9    -43 29 45     3.97
582  7 Alpha Lac                   22 31 17.3     50 16 57     3.77
583  42 Zeta Peg                   22 41 27.6     10 49 53     3.40
584  Beta Gru Tiaki                22 42 39.9    -46 53 05     2.11
585  44 Eta Peg                    22 42 00.0     30 13 17     2.94
586  47 Lambda Peg                 22 46 31.7     23 33 56     3.95
587  Epsilon Gru                   22 48 33.1    -51 19 01     3.49
588  32 Iota Cep                   22 49 40.6     66 12 02     3.52
589  48 Mu Peg                     22 50 00.0     24 36 06     3.48
590  73 Lambda Aqr                 22 52 36.6     -7 34 47     3.74
591  76 Delta Aqr                  22 54 38.8    -15 49 15     3.27
592  24 Alpha PsA Fomalhaut        22 57 38.9    -29 37 20     1.16
593  1 Omicron And                 23 01 55.1     42 19 34     3.60
594  53 Beta Peg                   23 03 46.3     28 04 58     2.42
595  54 Alpha Peg Markab           23 04 45.5     15 12 19     2.49
596  R Peg ~                       23 06 38.9     10 32 34     6.80
597  88 Aqr                        23 09 26.6    -21 10 21     3.66
598  Iota Gru                      23 10 21.4    -45 14 48     3.90
599  V Cas ~                       23 11 42.0     59 42 00     6.90
600  6 Gamma Psc                   23 17 09.7      3 16 56     3.69
601  Gamma Tuc                     23 17 25.6    -58 14 08     3.99
602  S Peg ~                       23 20 33.0      8 55 07     7.20
603  98 Aqr                        23 22 58.0    -20 06 02     3.97
604  Omicrom Sigma 500 *           23 37 30.0     44 25 00     6.30
605  16 Lambda And                 23 37 33.7     46 27 30     3.82
606  35 Gamma Cep                  23 39 20.7     77 37 57     3.21
607  R Aqr ~                       23 43 49.3    -15 17 04     6.70
608  R Cas ~                       23 58 22.8     51 23 40     5.50
609  Sigma 3050 *                  23 59 30.0     33 42 00     5.80
