4631,12.421,32.32,Edge On Galaxy C32
6992,20.564,31.42,Eastern Veil Nebula C33
6960,20.457,30.43,Western Veil Nebula C34
4889,13.001,27.59,In Coma Cluster C35
4559,12.36,27.57,Spiral Galaxy C36
6885,20.12,26.29,Open Cluster C37
4565,12.364,25.59,Edge On Galaxy C38
2392,7.292,20.55,Eskimo or Clown Planetary C39
3626,11.201,18.21,Spiral Galaxy C40
20050,4.27,15.5,Hyades Mel25 Open Cluster C41
7006,21.015,16.11,Very Distant C42
7814,.033,16.09,Spiral Galaxy C43
7479,23.049,12.19,Spiral Galaxy C44
5248,13.375,8.53,Spiral Galaxy C45
2261,6.391,8.43,Hubble's Var. Nebula C46
6934,20.342,7.24,Globular Cluster C47
2775,9.103,7.02,Spiral Galaxy C48
20849,6.323,5.03,Rosette Nebula C49
2244,6.324,4.52,Cluster in Rosette Neb. C50
11613,1.048,2.07,Irregular Galaxy C51
4697,12.486,-5.48,Elliptical Galaxy C52
3115,10.052,-7.43,Spindle Galaxy C53
2506,8.002,-10.47,Open Cluster C54
7009,21.042,-11.22,Saturn Planetary Nebula C55
246,.471,-11.53,Planetary C56
6822,19.449,-14.46,Barnard's Galaxy C57
2360,7.178,-15.37,Open Cluster C58
3242,10.248,-18.38,Ghost of Jupiter Planetary C59
4038,12.019,-18.52,Spiral Galaxy C60
4039,12.019,-18.53,Spiral Galaxy C61
247,.471,-20.45,Spiral Galaxy C62
7293,22.297,-20.51,Helix Nebula C63
2362,7.188,-24.57,Tau CMa Open Cluster C64
253,.476,-25.18,Sculptor Galaxy C65
5694,14.396,-26.32,Globular Cluster C66
1097,2.464,-30.16,Spiral Galaxy C67
6729,19.019,-36.57,R CrA Nebula C68
6302,17.137,-37.06,Bug Nebula C69
300,.55,-37.42,Spiral Galaxy C70
2477,7.523,-38.33,Open Cluster C71
55,.15,-39.13,Galaxy In Scl Group C72
1851,5.141,-40.03,Dun 508 Globular Cluster C73
3132,10.077,-40.26,Eight-Burst Planetary C74
6124,16.256,-40.4,Open Cluster C75
6231,16.542,-41.48,Cluster C76
5128,13.253,-43.01,Cen A Galaxy C77
6541,18.08,-43.42,Globular Cluster C78
3201,10.176,-46.25,Globular Cluster C79
5139,13.268,-47.29,Omega Centauri Globular C80
6352,17.255,-48.25,Globular Cluster C81
6193,16.413,-48.46,Open Cluster C82
4945,13.054,-49.28,Spiral Galaxy C83
5286,13.464,-51.22,Globular Cluster C84
12391,8.402,-53.04,Omicron Vel Open Cluster C85
6397,17.407,-53.4,Globular Cluster C86
1261,3.123,-55.13,Globular Cluster C87
5823,15.057,-55.36,Open Cluster C88
6067,16.132,-54.13,S Nor Open Cluster C89
2867,9.214,-58.19,Planetary Nebula C90
3532,11.064,-58.4,Open Cluster C91
3372,10.45,-59.41,Eta Carinae Nebula C92
6752,19.109,-59.59,Dun 295 Globular Cluster C93
4755,12.536,-60.21,Kappa Crucis Cluster (Jewel Box) C94
6025,16.037,-60.3,Open Cluster C95
2516,7.583,-60.52,Open Cluster C96
3766,11.365,-61.36,Open Cluster C97
4609,12.423,-62.58,Open Cluster C98
20899,12.53,-63,Coal Sack DN C99
12944,11.358,-63.01,Running Chicken Nebula C100
6744,19.098,-63.51,Spiral Galaxy C101
12602,10.432,-64.24,Theta Car Open Cluster C102
2070,5.396,-69.03,Tarantula Nebula C103
362,1.023,-70.51,Globular Cluster C104
4833,12.596,-70.53,Globular Cluster C105
104,.241,-72.04,47 Tucanae Globular C106
6101,16.258,-72.12,Globular Cluster C107
4372,12.258,-72.40,Globular Cluster C108
3195,10.095,-80.52,Planetary Nebula C109

