21033,5.409,-2.28,0.0,DN,B33 Horsehead Neb
21034,5.435,32.39,0.0,DN,B34
21035,5.455,9.03,0.0,DN,B35
21036,7.16,-10.40,0.0,BN,LBN1036
21040,16.147,-18.59,0.0,DN,B40
21041,16.225,-19.40,0.0,DN,B41
21042,16.25,-23.3,0.0,DN,B42
21043,16.31,-19.2,0.0,DN,B43
21044,16.4,-24.2,0.0,DN,B44
21045,16.38,-22.3,0.0,DN,B45
21046,16.573,-22.4,0.0,DN,B46
21047,17.01,-22.4,0.0,DN,B47
21048,17.01,-40.47,0.0,DN,B48
21050,17.03,-34.26,0.0,DN,B50
21051,17.04,-22.15,0.0,DN,B51
21053,17.061,-33.15,0.0,DN,B53
21055,17.075,-32,0.0,DN,B55
21057,17.083,-22.5,0.0,DN,B57
21058,17.112,-40.25,0.0,DN,B58
21060,17.118,-22.27,0.0,DN,B60
21061,17.152,-20.21,0.0,DN,B61
21062,17.162,-20.53,0.0,DN,B62
21064,17.172,-18.32,0.0,DN,B64
21067,17.225,-21.53,0.0,DN,B67a
21068,17.226,-23.44,0.0,DN,B68
21069,17.229,-23.53,0.0,DN,B69
21070,17.235,-23.58,0.0,DN,B70
21072,17.23,-23.32,0.0,DN,LDN 66 B72 Snake
21074,17.252,-24.12,0.0,DN,B74
21079,17.395,-19.47,0.0,DN,B79
21083,17.453,-20,0.0,DN,B83a
21084,17.465,-20.11,0.0,DN,B84
21085,17.575,-17.4,0.0,DN,B84a
21086,18.027,-27.5,0.0,DN,B86
21087,18.043,-32.3,0.0,DN,B87
21090,18.102,-28.19,0.0,DN,B90
21091,18.1,-23.39,0.0,DN,B91
21092,18.155,-18.11,0.0,DN,B92
21093,18.169,-18.04,0.0,DN,B93
21095,18.256,-11.45,0.0,DN,B95
21097,18.291,-9.56,0.0,DN,B97
21100,18.327,-9.08,0.0,DN,B100-1
21103,18.392,-6.37,0.0,DN,B103
21104,18.473,-4.32,0.0,DN,B104
21108,18.496,-6.19,0.0,DN,B108
21110,18.502,-4.46,0.0,DN,B110
21111,18.51,-5.0,0.0,DN,B111
21112,18.512,-6.4,0.0,DN,B112
21113,18.514,-4.19,0.0,DN,B113
21114,18.532,-7.06,0.0,DN,B114-7
21118,18.539,-7.27,0.0,DN,B118
21120,5.440,-67.50,0.0,BN,LH 120
21127,19.02,-5.26,0.0,DN,B127;29;30
21132,19.041,-4.28,0.0,DN,B132
21133,19.061,-6.5,0.0,DN,B133
21134,19.069,-6.14,0.0,DN,B134
21135,19.077,-3.55,0.0,DN,B135
21136,19.088,-4.02,0.0,DN,B136
21139,19.181,-1.28,0.0,DN,B139
21142,19.407,10.3,0.0,DN,B142
21143,19.415,11.0,0.0,DN,B143
21145,20.028,37.4,0.0,DN,B145
21146,20.035,36.02,0.0,DN,B146
21148,20.491,59.32,0.0,DN,B148-9
21150,20.506,60.18,0.0,DN,B150
21152,21.145,61.45,0.0,DN,B152
21157,21.337,54.4,0.0,DN,B157
21160,21.38,56.14,0.0,DN,B160
21161,21.403,57.49,0.0,DN,B161
21162,21.411,56.19,0.0,DN,B162
21163,21.422,56.42,0.0,DN,B163
21164,21.465,51.04,0.0,DN,B164
21168,21.532,47.12,0.0,DN,B168
21169,21.589,58.45,0.0,DN,B169-171
21173,22.074,59.2,0.0,DN,B173-4
21225,5.298,12.32,0.0,DN,B225
21228,15.455,-34.24,0.0,DN,B228
21231,16.375,-5.12,0.0,DN,B231
21233,16.441,-35.21,0.0,DN,B233
21236,9.499,0.37,0.0,OC,Mrk 1236
21238,16.525,-23.05,0.0,DN,B238
21244,17.101,-28.24,0.0,DN,B244
21246,17.118,-22.27,0.0,DN,B246
21252,17.152,-32.13,0.0,DN,B252
21256,17.122,-28.51,0.0,DN,B256
21257,17.22,-35.35,0.0,DN,B257
21259,17.22,-19.19,0.0,DN,B259
21261,17.253,-23.0,0.0,DN,B261
21262,17.26,-22.28,0.0,DN,B262
21263,17.263,-42.38,0.0,DN,B263
21268,17.31,-21.0,0.0,DN,B268
21270,17.32,-19.4,0.0,DN,B270
21276,17.395,-19.47,0.0,DN,B276
21283,17.513,-33.53,0.0,DN,B283
21287,17.544,-35.12,0.0,DN,B287
21303,18.092,-24.07,0.0,DN,B303
21312,18.309,-15.08,0.0,DN,B312
21314,18.377,-9.37,0.0,DN,B314
21320,18.53,-5.5,0.0,DN,B320
21336,19.368,12.2,0.0,DN,B336
21337,19.36,12.25,0.0,DN,B337;334
21343,20.135,40.16,0.0,DN,B343
21346,20.267,43.45,0.0,DN,B346
21350,20.491,45.53,0.0,DN,B350
21352,20.571,45.54,0.0,DN,B352
21361,21.129,47.22,0.0,DN,B361
21362,21.24,50.1,0.0,DN,B362
21364,21.336,54.33,0.0,DN,B364
21365,21.349,56.43,0.0,DN,B365
21367,21.444,57.12,0.0,DN,B367
21616,5.065,-3.30,0.0,DN,LDN 1616
21710,17.207,-31.57,0.0,DN,LDN 1710
22000,0.527,-72.50,0.0,Gx,Small Magellanic Cloud
22001,6.255,19.46,0.0,OC,Bochum 1
22006,20.068,38.21,7.7,OC,Bas 6
22011,7.171,-13.58,8.2,OC,Bas 11A
22018,13.283,-62.22,8.2,OC,Bas 18
22066,7.263,-47.44,0.0,OC,Mel 66
22071,7.375,-12.04,0.0,OC,Mel 71
22086,20.204,38.42,7.9,OC,Be 86
22092,19.363,29.33,0.0,BN,M1-92 Footprint
22101,10.421,-65.06,0.0,OC,Mel 101
22105,11.195,-63.30,0.0,OC,Mel 105
22111,12.251,26.07,0.0,OC,Mel 111 Coma Berenices
22135,7.19,-44.35,0.0,DN,Be 135
22145,14.486,-65.15,0.0,DN,Be 145
22146,13.576,-40.0,0.0,DN,Be 146
22149,16.094,-39.08,0.0,DN,Be 149
22157,19.029,-37.08,0.0,DN,Be 157
22227,20.180,-79.09,0.0,OC,Mel 227
23001,0.043,-29.56,4.5,OC,Blanco 1 Zeta Sculptoris
23014,0.319,63.10,8.5,OC,K14
23025,6.451,0.18,7.6,OC,Do25
23033,4.271,26.06,10.0,BN,Ced 33
23034,4.272,22.57,5.5,BN,Ced 34
23059,5.453,9.04,12.0,BN,Ced 59
23062,6.078,18.41,13.0,BN,Ced 62
23090,7.052,-12.2,8.5,BN,Ced 90
23122,13.254,-64.01,5.5,BN,Ced 122
23174,20.028,36.58,0.0,BN,Ced 174
23205,2.413,4.13,11.8,Gx,II Zw 5
23211,23.438,-15.17,6.4,BN,Ced 211
23214,0.047,67.1,0.0,BN,Ced 214
23366,12.272,14.07,12.3,Gx,III Zw 66
23400,18.154,-30.32,0.0,PN,PK-1-6.1
23401,18.162,-30.52,0.0,PN,PK1-6.2 SwSt1
23402,18.292,-31.30,0.0,PN,PK2-9.1 Cn1-5
23403,18.177,-29.08,0.0,PN,PK3-6.1 M2-36
23404,18.556,-32.16,0.0,PN,PK3-14.1 Hb7
23405,19.056,-33.12,0.0,PN,PK3-17.1 Hb8
23406,18.394,-30.41,0.0,PN,PK4-11.1 M3-29
23407,17.352,-18.34,0.0,PN,PK7+7.1 M1-22
23408,18.280,-26.07,0.0,PN,PK7-6.2 M1-24
23409,17.129,-3.16,0.0,PN,PK18+20.1 Na1
23410,19.183,-11.06,0.0,PN,PK26-11.1 Na2
23411,18.540,-6.26,0.0,PN,PK27-3.2 Vy1-4
23412,18.176,10.09,0.0,PN,PK38+12.1 Cn3-1
23413,19.244,9.54,0.0,PN,PK45-2.1 Vy2-2
23414,16.275,27.54,0.0,PN,PK47+42.1 Abell39
23415,18.497,20.51,0.0,PN,PK51+9.1 Hu2-1
23416,19.392,15.57,0.0,PN,PK52-2.2 Me1-1
23417,19.348,30.31,0.0,PN,PK64+5.1 Campbell's Star
23418,21.168,24.10,0.0,PN,PK72-17.1 Abell74
23419,21.023,36.42,0.0,PN,PK80-6.1 Egg
23420,21.331,39.38,0.0,PN,PK86-8.1 Hu1-2
23421,22.563,57.09,0.0,PN,PK107-2.1 M1-80
23422,23.230,46.54,0.0,PN,PK107-13.1 Vy2-3
23423,23.263,58.11,0.0,PN,PK111-2.1 Hb12
23424,0.283,55.58,0.0,PN,PK119-6.1 Hu1-1
23425,6.196,55.37,0.0,PN,PK158+17.1 PuWe1
23426,7.578,53.25,0.0,PN,PK164+31.1 JE1
23427,3.535,19.28,0.0,PN,PK171-25.1 Baade1
23428,5.056,10.42,12.0,PN,PK190-17.1 J320
23429,6.26,17.48,11.7,PN,PK194+02.1 J900
23430,6.024,9.39,0.0,PN,PK198-6.1 Abell12
23431,7.29,13.15,0.0,PN,PK205+14.1 Medussa Abell21
23432,5.032,-15.36,0.0,PN,PK215-30.1 Abell7
23433,7.517,3.0,0.0,PN,PK217+14.1 Abell24
23434,8.542,8.55,0.0,PN,PK219+31.1 Abell31
23435,9.391,-2.48,0.0,PN,PK238+34.1 Abell33
23436,8.115,-48.43,0.0,PN,PK264-8.1 He2-7
23437,12.536,-22.52,0.0,PN,PK303+40.1 Abell35
23438,13.396,-67.23,0.0,PN,PK307-4.1 He2-95
23439,13.406,-19.53,0.0,PN,PK318+41.1 Abell36
23440,15.343,-59.09,0.0,PN,PK322-2.1 Mz1
23441,15.517,-51.31,0.0,PN,PK329+2.1 Sp1
23442,16.145,-54.57,0.0,PN,PK329-2.2 Mz2
23443,18.073,-51.02,0.0,PN,PK342-14.1 Sp3
23444,18.002,-38.50,0.0,PN,PK352-7.1 Fg3
23445,16.558,-29.50,0.0,PN,PK353+8.1 He2-184
23446,17.546,-34.22,0.0,PN,PK356-4.1 Cn2-1
23447,17.479,-30.0,0.0,PN,PK359-0.1 Hb5
23547,10.05,-58.55,0.0,BN,R47
23550,10.27,-57.10,0.0,BN,R50
23558,11.06,-65.35,0.0,BN,R58
23559,17.17,-36.20,0.0,BN,R126
23632,7.45,-25.31,0.0,OC,Ru32
23644,7.59,-28.35,0.0,OC,Ru44
23655,8.123,-32.36,0.0,OC,Ru55
