28 $Eta Ori,5.24286,-2.235,3.36
24 $Gamma Ori,5.25078,6.2059,1.64
112 $Beta Tau,5.26175,28.3627,1.65
9 $Beta Lep,5.28147,-20.4535,2.84
$Epsilon Col,5.31127,-35.2815,3.87
33 $Ori *,5.31144,3.1732,5.46
34 $Delta Ori,5.32003,-0.1757,2.23
11 $Alpha Lep,5.32437,-17.492,2.58
$Beta Dor,5.33375,-62.2924,3.8
39 $Lambda Ori,5.35082,9.5602,3.39
44 $Iota Ori,5.35259,-5.5436,2.76
46 $Epsilon Ori,5.36127,-1.1207,1.7
123 $Zeta Tau,5.37386,21.0833,3
48 $Sigma Ori,5.38447,-2.36,3.73
$Alpha Col,5.39389,-34.0427,2.64
50 $Zeta Ori,5.40455,-1.5634,1.77
13 $Gamma Lep,5.44277,-22.2655,3.6
14 $Zeta Lep,5.46572,-14.492,3.55
$Beta Pic,5.47171,-51.0359,3.85
53 $Kappa Ori,5.47453,-9.4011,2.06
$Beta Col,5.50575,-35.4606,3.12
15 $Delta Lep,5.51192,-20.5245,3.81
32 $Nu Aur,5.51293,39.0855,3.97
58 $Alpha Ori #Betelgeuse,5.55102,7.2426,.5
U $Ori ~,5.55492,20.103,5.4
16 $Eta Lep,5.56242,-14.1004,3.71
$Eta Col,5.59088,-42.4855,3.96
33 $Delta Aur,5.59316,54.1705,3.72
34 $Beta Aur,5.59317,44.5651,1.9
37 $Theta Aur,5.59432,37.1245,2.62
,6.03295,73.0418,4.03
5 $Gamma Mon,6.14513,-6.1629,3.98
7 $Eta Gem,6.14526,22.3024,3.28
1 $Zeta CMa,6.20187,-30.0348,3.02
$Delta Col,6.22067,-33.2611,3.85
2 $Beta CMa,6.22419,-17.5722,1.98
V $Mon ~,6.22437,-2.1147,5.9
13 $Mu Gem,6.22576,22.3049,2.88
$Alpha Car #Canopus,6.23571,-52.4144,-.72
T $Mon ~,6.2513,7.0509,5.98
11 $Beta Mon,6.28489,-7.0158,3.76
7 $Nu-2 CMa,6.3641,-19.1522,3.95
24 $Gamma Gem,6.37427,16.2357,1.93
$Nu Pup,6.37456,-43.1145,3.17
27 $Epsilon Gem,6.43559,25.0752,2.98
9 $Alpha CMa #Sirius *,6.45089,-16.4258,-1.46
31 $Xi Gem,6.45173,12.5344,3.36
Omicron Sigma 156 *,6.47234,18.1136,6.16
$Alpha Pic,6.48114,-61.5629,3.27
13 $Kappa CMa,6.49504,-32.3031,3.96
